"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar la operacion retirar dinero","SUCCESS","2023-12-13T15:38:26.850887-05:00[America/Lima]","0.0","69.43"
"SOLI BCP","Realizar la operacion agregar dinero","SUCCESS","2023-12-13T15:39:57.817402-05:00[America/Lima]","0.0","71.37"
"SOLI BCP","Realizar la operacion generacion qr","SUCCESS","2023-12-13T15:41:24.989059-05:00[America/Lima]","0.0","67.75"
"SOLI BCP","Realizar el retiro de dinero","SUCCESS","2023-09-04T10:19:41.27825-05:00[America/Lima]","0.0","76.34"
"SOLI BCP","Validar que el pin de usuario sea correcta","FAILURE","2023-09-27T11:30:08.338792-05:00[America/Lima]","0.0","66.76"
"SOLI BCP","Realizar el logueo de usuario ya existente","SUCCESS","2023-10-04T15:25:12.019425-05:00[America/Lima]","0.0","80.36"
"YAPE BCP","Realizar el logueo de usuario ya existente","SUCCESS","2023-12-13T11:55:27.841149-05:00[America/Lima]","0.0","63.45"
"SOLI BCP","Realizar la consulta de ultimos movimientos","SUCCESS","2023-12-13T12:38:59.40161-05:00[America/Lima]","0.0","115.94"
"SOLI BCP","Realizar consulta transferencias a otros bancos","SUCCESS","2023-12-13T12:41:58.451735-05:00[America/Lima]","0.0","72.02"
"SOLI BCP","Realizar consula retiro de dinero","SUCCESS","2023-12-13T12:48:54.426534-05:00[America/Lima]","0.0","71.54"
"SOLI BCP","Validar el numero de yape exista","SUCCESS","2023-09-27T13:49:26.103823-05:00[America/Lima]","0.0","82.81"
"SOLI BCP","Realizar la recarga de credito","SUCCESS","2023-12-13T15:36:16.502385-05:00[America/Lima]","0.0","85.13"
