"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
"SOLI BCP","Realizar el envio a otros yape","FAILURE","2023-12-14T15:35:54.269109-05:00[America/Lima]","0.0","44.51"
